Date,Myrtle Edwards Logger,NW,SE
05/10/2013 12:00:00 AM,,,
05/10/2013 01:00:00 AM,,,
05/10/2013 02:00:00 AM,,,
05/10/2013 03:00:00 AM,,,
05/10/2013 04:00:00 AM,,,
05/10/2013 05:00:00 AM,,,
05/10/2013 06:00:00 AM,,,
05/10/2013 07:00:00 AM,,,
05/10/2013 08:00:00 AM,,,
05/10/2013 09:00:00 AM,,,
05/10/2013 10:00:00 AM,,,
05/10/2013 11:00:00 AM,27,13,14
05/10/2013 12:00:00 PM,86,48,38
05/10/2013 01:00:00 PM,71,36,35
05/10/2013 02:00:00 PM,88,45,43
05/10/2013 03:00:00 PM,136,82,54
05/10/2013 04:00:00 PM,243,177,66
05/10/2013 05:00:00 PM,340,260,80
05/10/2013 06:00:00 PM,174,123,51
05/10/2013 07:00:00 PM,87,50,37
05/10/2013 08:00:00 PM,37,22,15
05/10/2013 09:00:00 PM,23,10,13
05/10/2013 10:00:00 PM,20,13,7
05/10/2013 11:00:00 PM,17,15,2
05/11/2013 12:00:00 AM,5,5,0
05/11/2013 01:00:00 AM,4,4,0
05/11/2013 02:00:00 AM,2,2,0
05/11/2013 03:00:00 AM,1,1,0
05/11/2013 04:00:00 AM,0,0,0
05/11/2013 05:00:00 AM,3,1,2
05/11/2013 06:00:00 AM,11,7,4
05/11/2013 07:00:00 AM,49,23,26
05/11/2013 08:00:00 AM,46,19,27
05/11/2013 09:00:00 AM,91,52,39
05/11/2013 10:00:00 AM,86,41,45
05/11/2013 11:00:00 AM,112,47,65
05/11/2013 12:00:00 PM,180,58,122
05/11/2013 01:00:00 PM,144,87,57
05/11/2013 02:00:00 PM,190,88,102
05/11/2013 03:00:00 PM,195,141,54
05/11/2013 04:00:00 PM,185,115,70
05/11/2013 05:00:00 PM,171,96,75
05/11/2013 06:00:00 PM,129,65,64
05/11/2013 07:00:00 PM,67,45,22
05/11/2013 08:00:00 PM,32,19,13
05/11/2013 09:00:00 PM,19,9,10
05/11/2013 10:00:00 PM,9,7,2
05/11/2013 11:00:00 PM,4,4,0
05/12/2013 12:00:00 AM,7,7,0
05/12/2013 01:00:00 AM,1,1,0
05/12/2013 02:00:00 AM,2,2,0
05/12/2013 03:00:00 AM,1,1,0
05/12/2013 04:00:00 AM,2,2,0
05/12/2013 05:00:00 AM,3,2,1
05/12/2013 06:00:00 AM,4,1,3
05/12/2013 07:00:00 AM,7,4,3
05/12/2013 08:00:00 AM,19,5,14
05/12/2013 09:00:00 AM,18,10,8
05/12/2013 10:00:00 AM,22,7,15
05/12/2013 11:00:00 AM,28,10,18
05/12/2013 12:00:00 PM,46,20,26
05/12/2013 01:00:00 PM,47,26,21
05/12/2013 02:00:00 PM,63,35,28
05/12/2013 03:00:00 PM,71,32,39
05/12/2013 04:00:00 PM,55,35,20
05/12/2013 05:00:00 PM,72,32,40
05/12/2013 06:00:00 PM,41,25,16
05/12/2013 07:00:00 PM,25,15,10
05/12/2013 08:00:00 PM,5,2,3
05/12/2013 09:00:00 PM,3,2,1
05/12/2013 10:00:00 PM,3,3,0
05/12/2013 11:00:00 PM,3,3,0
05/13/2013 12:00:00 AM,0,0,0
05/13/2013 01:00:00 AM,0,0,0
05/13/2013 02:00:00 AM,2,1,1
05/13/2013 03:00:00 AM,1,1,0
05/13/2013 04:00:00 AM,1,1,0
05/13/2013 05:00:00 AM,25,12,13
05/13/2013 06:00:00 AM,66,23,43
05/13/2013 07:00:00 AM,181,49,132
05/13/2013 08:00:00 AM,150,28,122
05/13/2013 09:00:00 AM,70,16,54
05/13/2013 10:00:00 AM,26,9,17
05/13/2013 11:00:00 AM,13,6,7
05/13/2013 12:00:00 PM,22,13,9
05/13/2013 01:00:00 PM,15,6,9
05/13/2013 02:00:00 PM,18,8,10
05/13/2013 03:00:00 PM,50,26,24
05/13/2013 04:00:00 PM,99,74,25
05/13/2013 05:00:00 PM,213,171,42
05/13/2013 06:00:00 PM,93,81,12
05/13/2013 07:00:00 PM,61,48,13
05/13/2013 08:00:00 PM,49,38,11
05/13/2013 09:00:00 PM,24,11,13
05/13/2013 10:00:00 PM,4,3,1
05/13/2013 11:00:00 PM,1,1,0
05/14/2013 12:00:00 AM,2,2,0
05/14/2013 01:00:00 AM,0,0,0
05/14/2013 02:00:00 AM,0,0,0
05/14/2013 03:00:00 AM,2,1,1
05/14/2013 04:00:00 AM,1,1,0
05/14/2013 05:00:00 AM,30,15,15
05/14/2013 06:00:00 AM,97,29,68
05/14/2013 07:00:00 AM,194,47,147
05/14/2013 08:00:00 AM,195,35,160
05/14/2013 09:00:00 AM,91,28,63
05/14/2013 10:00:00 AM,36,11,25
05/14/2013 11:00:00 AM,38,20,18
05/14/2013 12:00:00 PM,36,18,18
05/14/2013 01:00:00 PM,41,18,23
05/14/2013 02:00:00 PM,59,30,29
05/14/2013 03:00:00 PM,98,58,40
05/14/2013 04:00:00 PM,198,138,60
05/14/2013 05:00:00 PM,309,255,54
05/14/2013 06:00:00 PM,192,149,43
05/14/2013 07:00:00 PM,112,75,37
05/14/2013 08:00:00 PM,46,23,23
05/14/2013 09:00:00 PM,16,10,6
05/14/2013 10:00:00 PM,5,2,3
05/14/2013 11:00:00 PM,6,6,0
05/15/2013 12:00:00 AM,4,1,3
05/15/2013 01:00:00 AM,1,1,0
05/15/2013 02:00:00 AM,0,0,0
05/15/2013 03:00:00 AM,2,2,0
05/15/2013 04:00:00 AM,1,1,0
05/15/2013 05:00:00 AM,34,13,21
05/15/2013 06:00:00 AM,71,25,46
05/15/2013 07:00:00 AM,202,57,145
05/15/2013 08:00:00 AM,181,37,144
05/15/2013 09:00:00 AM,55,12,43
05/15/2013 10:00:00 AM,46,14,32
05/15/2013 11:00:00 AM,44,23,21
05/15/2013 12:00:00 PM,52,28,24
05/15/2013 01:00:00 PM,44,19,25
05/15/2013 02:00:00 PM,49,32,17
05/15/2013 03:00:00 PM,65,37,28
05/15/2013 04:00:00 PM,125,101,24
05/15/2013 05:00:00 PM,227,189,38
05/15/2013 06:00:00 PM,115,93,22
05/15/2013 07:00:00 PM,41,36,5
05/15/2013 08:00:00 PM,24,16,8
05/15/2013 09:00:00 PM,15,12,3
05/15/2013 10:00:00 PM,5,4,1
05/15/2013 11:00:00 PM,4,4,0
05/16/2013 12:00:00 AM,2,1,1
05/16/2013 01:00:00 AM,0,0,0
05/16/2013 02:00:00 AM,1,1,0
05/16/2013 03:00:00 AM,1,1,0
05/16/2013 04:00:00 AM,2,1,1
05/16/2013 05:00:00 AM,30,16,14
05/16/2013 06:00:00 AM,70,26,44
05/16/2013 07:00:00 AM,159,39,120
05/16/2013 08:00:00 AM,174,30,144
05/16/2013 09:00:00 AM,73,11,62
05/16/2013 10:00:00 AM,44,14,30
05/16/2013 11:00:00 AM,39,19,20
05/16/2013 12:00:00 PM,45,29,16
05/16/2013 01:00:00 PM,54,36,18
05/16/2013 02:00:00 PM,72,37,35
05/16/2013 03:00:00 PM,81,37,44
05/16/2013 04:00:00 PM,177,126,51
05/16/2013 05:00:00 PM,288,225,63
05/16/2013 06:00:00 PM,182,136,46
05/16/2013 07:00:00 PM,120,74,46
05/16/2013 08:00:00 PM,63,30,33
05/16/2013 09:00:00 PM,29,18,11
05/16/2013 10:00:00 PM,10,7,3
05/16/2013 11:00:00 PM,8,6,2
05/17/2013 12:00:00 AM,4,3,1
05/17/2013 01:00:00 AM,1,0,1
05/17/2013 02:00:00 AM,1,1,0
05/17/2013 03:00:00 AM,1,1,0
05/17/2013 04:00:00 AM,2,2,0
05/17/2013 05:00:00 AM,32,14,18
05/17/2013 06:00:00 AM,89,32,57
05/17/2013 07:00:00 AM,199,47,152
05/17/2013 08:00:00 AM,182,47,135
05/17/2013 09:00:00 AM,81,26,55
05/17/2013 10:00:00 AM,38,18,20
05/17/2013 11:00:00 AM,21,12,9
05/17/2013 12:00:00 PM,25,13,12
05/17/2013 01:00:00 PM,36,19,17
05/17/2013 02:00:00 PM,53,37,16
05/17/2013 03:00:00 PM,91,46,45
05/17/2013 04:00:00 PM,200,151,49
05/17/2013 05:00:00 PM,262,215,47
05/17/2013 06:00:00 PM,146,111,35
05/17/2013 07:00:00 PM,60,45,15
05/17/2013 08:00:00 PM,50,25,25
05/17/2013 09:00:00 PM,15,9,6
05/17/2013 10:00:00 PM,4,3,1
05/17/2013 11:00:00 PM,3,2,1
05/18/2013 12:00:00 AM,7,4,3
05/18/2013 01:00:00 AM,3,2,1
05/18/2013 02:00:00 AM,0,0,0
05/18/2013 03:00:00 AM,1,1,0
05/18/2013 04:00:00 AM,1,1,0
05/18/2013 05:00:00 AM,2,0,2
05/18/2013 06:00:00 AM,17,7,10
